City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avera,33.194,-82.5271,10.73,93,73,2.23,US,1670048720
1,bandarbeyla,9.4942,50.8122,26.93,61,6,9.18,SO,1670048721
2,ushuaia,-54.8,-68.3,4.81,65,75,2.06,AR,1670048721
3,bluff,-46.6,168.3333,12.85,77,100,11.84,NZ,1670048722
4,lebu,-37.6167,-73.65,12.97,93,88,2.68,CL,1670048723
5,nouadhibou,20.931,-17.0347,15.99,94,40,6.17,MR,1670048724
6,gopalpur,19.2667,84.9167,26.93,64,7,3.24,IN,1670048724
7,petropavlovsk-kamchatskiy,53.0452,158.6483,-13.67,85,40,1.0,RU,1670048725
8,clyde river,70.4692,-68.5914,-19.87,77,100,4.12,CA,1670048726
9,lujan,-34.5703,-59.105,18.86,91,6,2.2,AR,1670048729
10,nara,34.6851,135.8049,14.16,34,21,1.93,JP,1670048730
11,port elizabeth,-33.918,25.5701,20.61,76,75,7.72,ZA,1670048731
12,nivala,63.9167,24.9667,-6.29,98,84,1.58,FI,1670048590
13,kralendijk,12.15,-68.2667,23.99,88,40,5.14,BQ,1670048731
14,cape town,-33.9258,18.4232,18.95,60,20,6.69,ZA,1670048732
15,saskylakh,71.9167,114.0833,-18.53,97,100,4.54,RU,1670048732
16,vaini,-21.2,-175.2,28.09,83,40,3.6,TO,1670048733
17,mataura,-46.1927,168.8643,14.26,67,96,2.25,NZ,1670048733
18,hilo,19.7297,-155.09,24.04,96,100,1.54,US,1670048634
19,sao filipe,14.8961,-24.4956,22.04,63,100,2.34,CV,1670048734
20,komsomolskiy,40.4272,71.7189,3.4,75,100,0.0,UZ,1670048734
21,biritiba-mirim,-23.5698,-46.0407,20.88,95,100,1.03,BR,1670048735
22,severo-kurilsk,50.6789,156.125,-3.88,71,88,10.63,RU,1670048639
23,hofn,64.2539,-15.2082,4.9,66,5,5.11,IS,1670048736
24,kodiak,57.79,-152.4072,-6.27,79,0,2.06,US,1670048736
25,ukiah,39.1502,-123.2078,4.8,88,0,0.0,US,1670048737
26,kapaa,22.0752,-159.319,26.18,89,100,3.09,US,1670048591
27,rikitea,-23.1203,-134.9692,23.61,71,61,6.06,PF,1670048697
28,constitucion,-35.3333,-72.4167,13.21,78,1,3.34,CL,1670048696
29,lorengau,-2.0226,147.2712,28.24,74,100,1.77,PG,1670048738
30,san patricio,28.017,-97.5169,19.4,95,63,1.78,US,1670048738
31,barpali,21.2,83.5833,27.01,40,0,1.12,IN,1670048739
32,hobyo,5.3505,48.5268,27.7,64,69,7.92,SO,1670048740
33,kaeo,-35.1,173.7833,17.51,68,14,1.83,NZ,1670048740
34,dikson,73.5069,80.5464,-16.52,98,98,1.96,RU,1670048741
35,mountain home,43.133,-115.6912,-5.29,68,0,5.66,US,1670048741
36,butaritari,3.0707,172.7902,27.6,72,38,7.71,KI,1670048741
37,east london,-33.0153,27.9116,22.52,49,20,9.77,ZA,1670048742
38,leshukonskoye,64.8989,45.7622,-13.06,98,100,1.61,RU,1670048742
39,cabo san lucas,22.8909,-109.9124,24.17,83,14,2.27,MX,1670048470
40,saint-philippe,-21.3585,55.7679,28.77,73,47,2.76,RE,1670048743
41,klyuchi,52.2667,79.1667,-17.79,89,33,1.69,RU,1670048743
42,mar del plata,-38.0023,-57.5575,14.37,93,0,4.02,AR,1670048505
43,atuona,-9.8,-139.0333,25.7,76,35,8.86,PF,1670048502
44,chase,50.8165,-119.6857,-10.51,99,97,0.89,CA,1670048744
45,uglich,57.5275,38.3317,-12.05,91,100,3.16,RU,1670048745
46,cabrero,-37.0333,-72.4,12.88,68,26,2.62,CL,1670048745
47,kyabe,9.4515,18.9449,25.89,29,91,1.48,TD,1670048745
48,adre,13.4667,22.2,20.89,23,1,7.75,TD,1670048746
49,hobart,-42.8794,147.3294,28.48,55,0,10.29,AU,1670048746
50,busselton,-33.65,115.3333,25.51,48,89,7.12,AU,1670048747
51,ahipara,-35.1667,173.1667,16.8,63,3,3.51,NZ,1670048747
52,kaitangata,-46.2817,169.8464,15.74,58,100,2.02,NZ,1670048748
53,mungeli,22.0667,81.6833,26.58,40,1,1.05,IN,1670048748
54,northam,51.0333,-4.2167,6.33,74,59,7.74,GB,1670048749
55,pisco,-13.7,-76.2167,17.03,88,2,1.54,PE,1670048705
56,bredasdorp,-34.5322,20.0403,15.79,57,98,3.0,ZA,1670048749
57,koutsouras,35.0339,25.9469,15.62,81,99,2.17,GR,1670048750
58,koson,39.0375,65.585,4.18,28,10,1.58,UZ,1670048750
59,arica,-18.475,-70.3042,16.13,67,0,2.06,CL,1670048569
60,qaanaaq,77.484,-69.3632,-4.23,68,100,6.55,GL,1670048751
61,upernavik,72.7868,-56.1549,1.92,79,100,17.08,GL,1670048751
62,nioro,13.35,-15.75,18.57,55,91,2.06,GM,1670048752
63,joensuu,62.6012,29.7632,-6.73,93,75,2.06,FI,1670048752
64,taoudenni,22.6783,-3.9836,18.09,25,0,3.35,ML,1670048753
65,port alfred,-33.5906,26.891,20.1,67,19,4.47,ZA,1670048753
66,livadiya,42.8692,132.6764,-0.04,46,81,10.38,RU,1670048754
67,poli,-3.3333,36.8,20.15,78,40,0.0,TZ,1670048754
68,hasaki,35.7333,140.8333,14.05,63,88,1.53,JP,1670048754
69,arraial do cabo,-22.9661,-42.0278,23.06,91,100,11.11,BR,1670048755
70,albany,42.6001,-73.9662,4.8,60,100,0.45,US,1670048470
71,castro,-24.7911,-50.0119,16.38,94,84,1.53,BR,1670048755
72,bilokurakyne,49.5341,38.7307,-4.21,76,96,6.96,UA,1670048756
73,tasiilaq,65.6145,-37.6368,1.09,82,100,8.39,GL,1670048757
74,khurba,50.4072,136.8819,-14.61,89,100,2.2,RU,1670048757
75,san ramon,37.7799,-121.978,7.93,84,0,2.06,US,1670048592
76,usinsk,65.9939,57.5281,-15.12,97,98,3.83,RU,1670048758
77,barrow,71.2906,-156.7887,-0.99,93,100,10.8,US,1670048758
78,shestakovo,56.4915,103.96,-17.13,89,100,3.94,RU,1670048759
79,tshikapa,-6.4167,20.8,22.23,86,76,0.55,CD,1670048761
80,beloha,-25.1667,45.05,29.09,56,99,1.71,MG,1670048762
81,veraval,20.9,70.3667,27.17,43,74,1.96,IN,1670048762
82,bubaque,11.2833,-15.8333,26.19,63,74,4.26,GW,1670048763
83,puerto ayora,-0.7393,-90.3518,19.75,95,83,1.34,EC,1670048763
84,dukat,62.55,155.55,-23.86,91,88,2.68,RU,1670048764
85,alice springs,-23.7,133.8833,35.75,9,2,7.2,AU,1670048739
86,ponta do sol,32.6667,-17.1,16.35,63,12,3.86,PT,1670048711
87,mana,5.6592,-53.7767,23.98,91,98,2.97,GF,1670048765
88,ampanihy,-24.7,44.75,29.91,44,99,2.37,MG,1670048766
89,kholodnyy,62.7167,147.95,-31.64,100,100,1.08,RU,1670048766
90,kiruna,67.8557,20.2251,-5.49,100,100,0.51,SE,1670048767
91,vada,51.97,5.6667,2.26,83,100,3.6,NL,1670048607
92,zhangjiakou,40.81,114.8794,-6.37,20,13,6.6,CN,1670048768
93,pevek,69.7008,170.3133,-20.5,85,9,6.38,RU,1670048768
94,bitung,1.4451,125.1824,30.47,74,68,4.3,ID,1670048769
95,avarua,-21.2078,-159.775,26.03,89,40,4.12,CK,1670048769
96,san carlos de bariloche,-41.1456,-71.3082,10.16,90,52,4.12,AR,1670048651
97,tapes,-30.6733,-51.3958,21.73,95,93,2.84,BR,1670048770
98,new norfolk,-42.7826,147.0587,28.28,15,39,1.34,AU,1670048770
99,kondinskoye,59.6481,67.41,-20.15,88,5,2.62,RU,1670048529
100,kourou,5.1552,-52.6478,23.03,91,100,1.97,GF,1670048771
101,georgetown,5.4112,100.3354,29.38,82,40,2.57,MY,1670048540
102,kilinochchi,9.3961,80.3982,27.56,75,97,4.07,LK,1670048772
103,longyearbyen,78.2186,15.6401,2.91,87,75,4.63,SJ,1670048621
104,bengkulu,-3.8004,102.2655,24.32,91,100,0.48,ID,1670048772
105,bambous virieux,-20.3428,57.7575,28.14,54,75,2.57,MU,1670048773
106,ca mau,9.1769,105.15,24.48,92,100,4.89,VN,1670048773
107,punta arenas,-53.15,-70.9167,5.06,65,75,2.06,CL,1670048660
108,paamiut,61.994,-49.6678,-0.01,78,100,11.08,GL,1670048774
